dob_yy,dob_mm,apgar5,births
2005,5,8,25595
2005,5,9,250399
2005,5,99,46454
2005,6,0,176
2005,6,1,630
2005,6,10,15550
2005,6,2,345
2005,6,3,342
2005,6,4,473
2005,6,5,863
2005,6,6,1895
2005,6,7,4810
2005,6,8,25994
2005,6,9,253297
2005,6,99,47071
2005,7,0,189
2005,7,1,627
2005,7,10,15352
2005,7,2,346
2005,7,3,344
2005,7,4,441
2005,7,5,896
2005,7,6,1935
2005,7,7,4945
2005,7,8,26164
2005,7,9,256855
2005,7,99,49606
2005,8,0,169
2005,8,1,647
2005,8,10,16195
2005,8,2,329
2005,8,3,371
2005,8,4,503
2005,8,5,839
2005,8,6,1728
2005,8,7,4902
2005,8,8,26523
2005,8,9,266349
2005,8,99,51490
2005,9,0,162
2005,9,1,598
2005,9,10,16004
2005,9,2,321
2005,9,3,330
2005,9,4,455
2005,9,5,806
2005,9,6,1698
2005,9,7,4823
2005,9,8,25351
2005,9,9,262422
2005,9,99,51144
2019,1,0,134
2019,1,1,560
2019,1,2,453
2019,1,3,488
2019,1,4,780
2019,1,5,1341
2019,1,6,2442
2019,1,7,6153
2019,1,8,32490
2019,1,9,258925
2019,1,10,6669
2019,1,99,1243
2019,2,0,126
2019,2,1,577
2019,2,2,465
2019,2,3,493
2019,2,4,686
2019,2,5,1151
2019,2,6,2269
2019,2,7,5511
2019,2,8,29867
2019,2,9,232655
2019,2,10,5722
2019,2,99,1157
2019,3,0,158
2019,3,1,610
2019,3,2,496
2019,3,3,545
2019,3,4,706
2019,3,5,1292
2019,3,6,2407
2019,3,7,6361
2019,3,8,33159
2019,3,9,251706
2019,3,10,6282
2019,3,99,1277
2019,4,0,163
2019,4,1,626
2019,4,2,460
2019,4,3,523
2019,4,4,677
2019,4,5,1314
2019,4,6,2365
2019,4,7,6232
2019,4,8,33744
2019,4,9,246329
2019,4,10,6084
2019,4,99,1238
2019,5,0,142
2019,5,1,643
2019,5,2,503
2019,5,3,544
2019,5,4,769
2019,5,5,1345
2019,5,6,2660
2019,5,7,6626
2019,5,8,35761
2019,5,9,260465
2019,5,10,6512
2019,5,99,1190
2019,6,0,174
2019,6,1,628
2019,6,2,470
2019,6,3,555
2019,6,4,758
2019,6,5,1310
2019,6,6,2533
2019,6,7,6633
2019,6,8,34833
2019,6,9,249495
2019,6,10,6238
2019,6,99,1216
2019,7,0,204
2019,7,1,664
2019,7,2,536
2019,7,3,575
2019,7,4,774
2019,7,5,1396
2019,7,6,2762
2019,7,7,7093
2019,7,8,38049
2019,7,9,274222
2019,7,10,6909
2019,7,99,1334
2019,8,0,212
2019,8,1,685
2019,8,2,470
2019,8,3,606
2019,8,4,800
2019,8,5,1510
2019,8,6,2757
2019,8,7,7104
2019,8,8,38882
2019,8,9,281223
2019,8,10,6969
2019,8,99,1399
2019,9,0,176
2019,9,1,639
2019,9,2,484
2019,9,3,521
2019,9,4,773
2019,9,5,1344
2019,9,6,2636
2019,9,7,6670
2019,9,8,36522
2019,9,9,269075
2019,9,10,6568
2019,9,99,1254
2019,10,0,193
2019,10,1,612
